,City,Location,lon,lat
80,"McLean, VA","(38.9342888, -77.1776327)",38.9342888,-77.1776327
81,"Chantilly, VA","(38.8943792, -77.4305118)",38.8943792,-77.4305118
82,"Washington, DC","(38.8949549, -77.0366456)",38.8949549,-77.0366456
83,"Bethesda, MD","(38.9848265, -77.0946459)",38.9848265,-77.0946459
84,"Vienna, VA","(38.9013013, -77.2651585)",38.9013013,-77.2651585
85,"Herndon, VA","(38.9695316, -77.3859479)",38.9695316,-77.3859479
86,"Rockville, MD","(39.0840054, -77.1527573)",39.0840054,-77.1527573
87,"Reston, VA","(38.9584018, -77.3579743)",38.9584018,-77.3579743
88,"Alexandria, VA","(38.8051095, -77.0470229)",38.8051095,-77.0470229
89,"Merrifield, VA","(38.8742611, -77.2266208)",38.8742611,-77.2266208
90,"Gaithersburg, MD","(39.1434406, -77.2013705)",39.1434406,-77.2013705
91,"Fairfax, VA","(38.8462236, -77.3063733)",38.8462236,-77.3063733
92,"Tysons, VA","(38.918592, -77.2314723)",38.918592,-77.2314723
93,"Arlington, VA","(38.8903961, -77.0841585)",38.8903961,-77.0841585
94,"Clinton, MD","(38.7651145, -76.8983059)",38.7651145,-76.8983059
95,"Bowie, MD","(38.9429659, -76.731234)",38.9429659,-76.731234
96,"Tysons Corner, VA","(38.918592, -77.2314723)",38.918592,-77.2314723
97,"Germantown, MD","(39.1731621, -77.2716502)",39.1731621,-77.2716502
98,"Springfield, VA","(38.7890522, -77.1870368)",38.7890522,-77.1870368
99,"College Park, MD","(38.980666, -76.9369189)",38.980666,-76.9369189
100,"Chicago, IL","(41.8755546, -87.6244212)",41.8755546,-87.6244212
101,"Evanston, IL","(42.0447388, -87.6930459)",42.0447388,-87.6930459
102,"Elk Grove Village, IL","(42.0041236, -87.9706457)",42.0041236,-87.9706457
103,"Wood Dale, IL","(41.9633625, -87.9789562)",41.9633625,-87.9789562
104,"Rolling Meadows, IL","(42.0841936, -88.0131275)",42.0841936,-88.0131275
105,"Deerfield, IL","(42.1711365, -87.8445119)",42.1711365,-87.8445119
106,"Park Ridge, IL","(42.0111412, -87.8406192)",42.0111412,-87.8406192
107,"Tinley Park, IL","(41.5733669, -87.7844944)",41.5733669,-87.7844944
108,"Glenview, IL","(42.0700662, -87.8114044)",42.0700662,-87.8114044
